cup x:0.36 y:-0.09 z:0.64
bottle x:0.2 y:-0.02 z:0.84
cup x:-0.14 y:0.33 z:0.79
bottle x:-0.3 y:0.16 z:1.2
cup x:-0.14 y:0.33 z:0.78
bottle x:-0.3 y:0.16 z:1.21
cup x:-0.13 y:0.33 z:0.78
bottle x:-0.3 y:0.16 z:1.21
cup x:-0.13 y:0.32 z:0.77
bottle x:-0.3 y:0.17 z:1.2
cup x:-0.13 y:0.32 z:0.77
bottle x:-0.3 y:0.16 z:1.2
cup x:-0.13 y:0.33 z:0.78
bottle x:-0.3 y:0.15 z:1.2
cup x:0.23 y:0.32 z:0.66
bottle x:0.14 y:0.17 z:1.28
bottle x:0.14 y:0.14 z:1.26
cup x:0.54 y:0.31 z:1.11
cup x:0.07 y:0.33 z:0.78
bottle x:0.29 y:0.16 z:1.3
bottle x:0.29 y:0.16 z:1.3
cup x:0.55 y:0.32 z:1.12
cup x:0.12 y:0.02 z:0.58
cup x:0.12 y:0.04 z:0.6
bottle x:-0.1 y:-0.07 z:1.2
cup x:-0.09 y:0.26 z:0.58
cup x:-0.1 y:0.22 z:0.48
bottle x:-0.15 y:-0.06 z:1.12
cup x:0.0 y:0.0 z:0.0
cup x:0.0 y:0.0 z:0.0
cup x:-0.01 y:-0.02 z:0.57
bottle x:0.01 y:-0.27 z:0.59
cup x:0.26 y:0.27 z:0.68
cup x:-0.04 y:0.28 z:0.68
cup x:-0.03 y:0.27 z:0.68
bottle x:-0.72 y:0.54 z:0.93
cup x:-0.03 y:0.28 z:0.67
cup x:-0.03 y:0.28 z:0.67
cup x:-0.03 y:0.28 z:0.67
cup x:-0.03 y:0.28 z:0.67
cup x:0.01 y:0.27 z:0.67
cup x:0.04 y:0.32 z:0.97
cup x:0.04 y:0.32 z:0.96
cup x:0.04 y:0.32 z:0.97
bottle x:-0.22 y:0.11 z:0.53
cup x:-0.04 y:0.36 z:0.62
bottle x:-0.04 y:0.08 z:0.63
cup x:-0.04 y:0.18 z:0.57
bottle x:0.15 y:0.0 z:0.54
cup x:0.09 y:0.13 z:0.52
bottle x:0.0 y:-0.0 z:0.0
cup x:-0.0 y:-0.0 z:0.0
bottle x:-0.1 y:0.19 z:0.55
bottle x:-0.2 y:0.19 z:0.55
bottle x:0.18 y:-0.13 z:0.4
bottle x:-0.0 y:0.0 z:0.0
bottle x:-0.0 y:-0.0 z:0.0
cup x:-2.78 y:0.81 z:4.58
bottle x:-0.05 y:0.06 z:0.49
bottle x:-0.09 y:-0.16 z:0.53
cup x:-2.75 y:0.8 z:4.51
bottle x:-0.26 y:-0.15 z:0.54
cup x:-2.71 y:0.78 z:4.45
bottle x:-0.02 y:-0.01 z:0.54
cup x:-2.83 y:0.81 z:4.61
bottle x:-0.0 y:-0.13 z:0.48
cup x:0.0 y:-0.0 z:0.0
bottle x:-0.03 y:-0.11 z:0.51
cup x:-2.59 y:0.76 z:4.26
bottle x:-0.23 y:-0.14 z:0.54
bottle x:-0.23 y:-0.14 z:0.55
bottle x:-0.22 y:-0.18 z:0.54
bottle x:-0.27 y:-0.2 z:0.57
bottle x:-0.27 y:-0.2 z:0.58
bottle x:-0.27 y:-0.2 z:0.57
bottle x:-0.27 y:-0.2 z:0.57
bottle x:-0.27 y:-0.2 z:0.57
bottle x:-0.27 y:-0.2 z:0.58
cup x:-0.24 y:-0.24 z:0.52
bottle x:-0.16 y:-0.08 z:0.52
bottle x:0.09 y:-0.03 z:0.36
bottle x:0.03 y:-0.05 z:0.38
bottle x:-0.11 y:-0.03 z:0.34
bottle x:-0.08 y:-0.05 z:0.35
bottle x:0.43 y:0.02 z:1.05
bottle x:-0.0 y:-0.0 z:0.0
bottle x:-0.13 y:0.0 z:0.35
bottle x:-0.06 y:-0.0 z:0.39
bottle x:-0.16 y:-0.05 z:0.4
bottle x:-0.19 y:-0.03 z:0.39
bottle x:-0.19 y:-0.14 z:0.49
bottle x:-0.16 y:-0.02 z:0.35
bottle x:-0.16 y:-0.08 z:0.5
bottle x:-0.11 y:-0.0 z:0.34
bottle x:-0.0 y:-0.0 z:0.0
bottle x:-0.1 y:0.02 z:0.48
bottle x:0.18 y:-0.04 z:0.43
bottle x:0.0 y:-0.0 z:0.0
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.16 y:-0.16 z:0.54
bottle x:-0.16 y:-0.15 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.17 y:-0.16 z:0.54
bottle x:-0.18 y:-0.15 z:0.54
bottle x:-0.18 y:-0.15 z:0.54
bottle x:-0.17 y:-0.15 z:0.54
bottle x:-0.18 y:-0.15 z:0.54
bottle x:-0.18 y:-0.15 z:0.54
bottle x:-0.18 y:-0.15 z:0.54
bottle x:-0.14 y:0.07 z:0.58
bottle x:-0.14 y:0.07 z:0.58
bottle x:-0.14 y:0.07 z:0.58
bottle x:-0.14 y:0.07 z:0.59
