Angle,Static Z,Angled Z,Calculated Z,Static Accuracy,Angled Accuracy
35.63,1,0.42,0.93,93.1,-20.18
35.55,1,0.48,0.93,93.1,7.9
35.61,1,0.44,0.92,92.4,-11.86
35.35,1,0.62,0.93,92.7,50.72
35.51,1,0.51,0.93,93.3,16.77
35.4,1,0.59,0.93,93.0,41.73
13.05,1,0.55,0.61,61.2,89.35
37.71,1,0.92,0.82,81.9,88.74
35.7,1,0.37,0.92,92.1,-51.78
35.57,1,0.47,0.93,92.5,3.04
13.13,1,0.0,0.62,61.6,-inf
35.8,1,0.28,0.92,91.6,-122.65
12.91,1,0.59,0.62,61.6,94.78
37.25,1,0.83,0.82,82.1,98.61
35.82,1,0.26,0.92,92.0,-147.26
22.51,1,0.75,0.43,43.2,57.79
35.95,1,0.16,0.93,92.8,-377.1
14.54,1,0.0,0.39,38.9,-inf
36.47,1,0.3,0.91,91.0,-108.06
19.96,1,0.21,0.46,46.0,-19.56
35.81,1,0.28,0.93,92.5,-130.62
35.71,1,0.36,0.93,93.3,-58.26
21.77,1,0.0,0.48,48.1,-inf
18.6,1,0.55,0.58,58.2,94.46
20.68,1,0.13,0.48,47.8,-177.08
17.35,1,0.04,0.57,57.3,-1277.81
18.66,1,0.49,0.48,47.5,97.14
36.12,1,0.01,0.92,92.0,-9142.46
17.61,1,0.18,0.57,56.8,-111.09
17.12,1,0.09,0.57,56.7,-433.48
19.51,1,0.44,0.57,56.9,69.37
35.98,1,0.13,0.92,92.3,-487.67
35.87,1,0.23,0.93,92.8,-207.09
35.93,1,0.18,0.92,92.4,-315.83
35.77,1,0.31,0.92,92.0,-95.62
10.17,1,0.26,0.36,35.5,61.51
36.24,1,0.1,0.0,0.0,0.0
36.68,1,0.46,0.0,0.0,0.0
34.03,1,0.0,0.0,0.0,nan
13.46,1,0.0,0.65,65.3,-inf
36.18,1,0.04,0.91,91.4,-1864.42
12.91,1,0.0,0.66,65.5,-inf
36.55,1,0.36,0.0,0.0,-0.0
37.13,1,0.79,0.0,0.0,0.0
12.5,1,0.64,0.65,65.3,97.24
36.07,1,0.05,0.93,92.5,-1621.61
12.79,1,0.62,0.65,65.3,94.97
30.69,1,0.76,0.0,0.0,0.0
36.46,1,0.29,0.91,91.3,-117.47
12.83,1,0.6,0.65,65.0,91.36
34.6,1,0.96,0.0,0.0,0.0
36.52,1,0.34,0.92,91.7,-69.09
22.3,1,0.0,0.66,65.6,-inf
29.35,1,0.48,0.67,66.5,61.72
12.79,1,0.61,0.65,64.8,92.91
35.64,1,0.45,0.0,0.0,0.0
12.79,1,0.61,0.65,64.8,94.46
36.31,1,0.16,0.92,92.4,-371.04
12.87,1,0.6,0.65,64.7,92.78
36.03,1,0.08,0.93,92.8,-910.99
12.96,1,0.57,0.64,64.4,87.76
36.11,1,0.02,0.92,91.7,-4918.17
12.89,1,0.6,0.65,64.6,91.5
36.63,1,0.42,0.9,89.7,-11.99
35.06,1,0.84,0.0,0.0,0.0
12.97,1,0.58,0.64,64.4,88.39
36.64,1,0.43,0.0,0.0,0.0
34.72,1,0.95,0.0,0.0,0.0
12.92,1,0.59,0.65,64.6,90.06
35.81,1,0.28,0.91,91.2,-129.53
13.01,1,0.56,0.64,64.3,86.05
36.18,1,0.05,0.91,91.3,-1723.4
35.03,1,0.86,0.0,0.0,0.0
12.98,1,0.57,0.64,64.3,87.61
36.42,1,0.25,0.0,0.0,0.0
13.05,1,0.55,0.64,64.3,83.48
36.42,1,0.25,0.92,91.6,-159.65
13.04,1,0.56,0.64,64.3,84.44
36.5,1,0.32,0.91,91.0,-87.23
34.77,1,0.94,0.0,0.0,0.0
13.36,1,0.0,0.65,64.5,-inf
36.39,1,0.23,0.92,91.9,-199.38
37.05,1,0.74,0.0,0.0,0.0
13.07,1,0.53,0.63,62.9,82.08
36.78,1,0.57,0.0,0.0,0.0
12.72,1,0.6,0.62,62.2,95.67
36.81,1,0.0,0.0,0.0,nan
12.45,1,0.59,0.0,0.0,0.0
36.12,1,0.0,0.0,0.0,nan
12.04,1,0.51,0.6,59.5,82.89
12.15,1,0.54,0.59,59.3,89.57
12.14,1,0.54,0.59,59.2,89.85
12.59,1,0.58,0.59,59.0,99.12
13.2,1,0.47,0.59,59.1,75.56
13.88,1,0.15,0.6,59.5,-197.79
14.44,1,0.18,0.6,59.9,-138.44
15.27,1,0.54,0.61,60.8,87.38
16.36,1,0.39,0.52,52.1,65.38
16.24,1,0.52,0.62,61.7,80.36
37.4,1,0.89,0.0,0.0,0.0
16.24,1,0.0,0.0,0.0,nan
37.15,1,0.8,0.0,0.0,-0.0
15.92,1,0.0,0.63,62.7,-inf
37.31,1,0.86,0.0,0.0,-0.0
15.65,1,0.61,0.63,63.1,96.18
37.03,1,0.74,0.0,0.0,-0.0
15.02,1,0.0,0.63,63.4,-inf
36.19,1,0.06,0.51,50.7,-669.15
14.41,1,0.0,0.63,63.0,-inf
35.08,1,0.83,0.5,50.5,60.93
14.19,1,0.03,0.62,62.5,-1654.77
34.94,1,0.89,0.5,50.1,56.18
14.09,1,0.03,0.62,62.2,-1882.26
34.21,1,0.91,0.5,50.4,55.44
13.69,1,0.26,0.62,61.9,-37.44
34.73,1,0.95,0.5,50.0,52.42
14.02,1,0.07,0.62,62.1,-660.88
34.43,1,0.97,0.5,49.9,51.58
13.88,1,0.15,0.62,62.3,-203.92
34.46,1,0.96,0.5,50.1,52.13
13.68,1,0.26,0.63,62.6,-37.59
34.4,1,0.96,0.5,50.1,52.38
13.9,1,0.14,0.62,62.2,-235.02
34.14,1,0.87,0.5,50.0,57.18
13.73,1,0.24,0.62,62.4,-60.6
34.2,1,0.91,0.5,49.9,55.09
13.59,1,0.0,0.62,62.4,-inf
34.28,1,0.93,0.5,50.0,53.76
13.62,1,0.0,0.63,62.6,-inf
33.9,1,0.76,0.0,0.0,0.0
13.55,1,0.0,0.62,62.5,-inf
34.32,1,0.93,0.5,49.7,53.21
13.52,1,0.0,0.62,62.4,-inf
34.33,1,0.95,0.5,49.8,52.51
13.75,1,0.23,0.62,62.3,-75.13
33.8,1,0.0,0.5,50.2,-inf
13.59,1,0.31,0.63,62.6,0.52
34.21,1,0.9,0.5,50.0,55.26
13.82,1,0.19,0.62,62.4,-136.88
34.55,1,0.97,0.5,49.9,51.66
13.99,1,0.09,0.62,62.2,-496.12
34.16,1,0.89,0.5,49.9,56.18
14.12,1,0.01,0.62,62.0,-5043.14
34.44,1,0.95,0.5,49.7,52.27
13.66,1,0.0,0.62,62.1,-inf
33.82,1,0.71,0.5,49.8,69.9
13.02,1,0.54,0.62,62.0,85.05
34.04,1,0.84,0.5,49.5,58.88
12.8,1,0.58,0.62,61.9,93.83
33.69,1,0.62,0.5,50.0,80.08
12.83,1,0.58,0.62,62.2,92.91
34.06,1,0.85,0.5,49.7,58.51
12.48,1,0.0,0.0,0.0,nan
34.13,1,0.88,0.5,49.6,56.38
12.33,1,0.59,0.62,62.2,94.74
33.71,1,0.65,0.5,49.7,76.91
12.19,1,0.0,0.0,0.0,nan
33.64,1,0.59,0.5,49.7,84.11
12.39,1,0.0,0.62,62.4,-inf
33.96,1,0.8,0.49,49.4,61.98
12.22,1,0.0,0.63,62.8,-inf
33.55,1,0.52,0.5,49.6,95.91
33.9,1,0.77,0.5,49.6,64.41
12.18,1,0.57,0.62,62.5,89.48
12.23,1,0.57,0.62,62.4,91.12
33.95,1,0.79,0.5,49.5,62.74
33.82,1,0.72,0.49,49.2,68.04
12.21,1,0.0,0.0,0.0,nan
11.98,1,0.0,0.0,0.0,nan
34.11,1,0.87,0.49,49.1,56.47
12.16,1,0.56,0.62,62.4,88.05
33.87,1,0.75,0.49,49.3,66.14
12.14,1,0.55,0.0,0.0,0.0
33.77,1,0.68,0.5,50.4,74.2
12.93,1,0.57,0.63,63.2,89.72
