Point 1: (83, 93, 64) (3, 99)
Point 2: (83, 93, 65) (5, 99)
Point 3: (83, 94, 65) (2, 99)
Point 4: (84, 94, 64) (5, 99)
Point 5: (84, 94, 65) (6, 99)
Point 6: (85, 94, 65) (2, 99)
Point 7: (86, 94, 65) (11, 99)
Point 8: (87, 94, 65) (8, 99)
Point 9: (87, 95, 64) (2, 99)
Point 1: (11, 3, 69) (2, 99, 41)
Point 2: (12, 4, 69) (15, 99, 41)
Point 3: (12, 4, 70) (4, 99, 41)
Point 4: (12, 5, 69) (4, 99, 41)
Point 5: (12, 5, 70) (15, 99, 41)
Point 6: (13, 5, 69) (4, 98, 41)
Point 7: (13, 5, 70) (5, 98, 41)
Point 8: (14, 5, 70) (3, 98, 41)
Point 9: (16, 5, 70) (2, 98, 41)
Point 10: (19, 5, 70) (2, 98, 41)
Point 11: (20, 6, 70) (3, 98, 41)
Point 12: (21, 6, 70) (2, 98, 41)
Point 13: (22, 6, 70) (6, 98, 41)
Point 14: (23, 6, 70) (33, 98, 41)
Point 15: (26, 5, 70) (2, 0, 41)
Point 16: (27, 5, 70) (2, 0, 41)
Point 17: (28, 5, 70) (8, 0, 41)
Point 18: (29, 6, 70) (17, 0, 41)
Point 19: (48, 39, 69) (11, 97, 41)
Point 1: (0, 2, 65) (2, 99, 41)
Point 2: (0, 3, 65) (18, 99, 41)
Point 3: (1, 2, 65) (4, 99, 41)
Point 4: (2, 2, 65) (2, 99, 41)
Point 5: (3, 2, 66) (4, 99, 41)
Point 6: (5, 1, 69) (2, 99, 41)
Point 7: (5, 3, 66) (2, 99, 41)
Point 8: (6, 2, 66) (2, 99, 41)
Point 9: (8, 2, 65) (5, 99, 41)
Point 10: (8, 2, 66) (12, 99, 41)
Point 11: (9, 2, 66) (4, 99, 41)
Point 12: (187, 3, 65) (2, 98, 41)
Point 13: (187, 4, 65) (4, 98, 41)
Point 14: (191, 4, 64) (2, 99, 41)
Point 15: (192, 4, 65) (4, 99, 41)
Point 16: (193, 3, 65) (2, 99, 41)
Point 17: (193, 4, 65) (6, 99, 41)
Point 18: (193, 4, 66) (3, 99, 41)
Point 19: (195, 3, 65) (5, 99, 41)
Point 20: (199, 3, 65) (4, 99, 41)
Point 1: (3, 7, 69) (2, 99, 41)
Point 2: (4, 7, 69) (3, 99, 41)
Point 3: (9, 8, 70) (3, 99, 41)
Point 4: (11, 9, 70) (5, 99, 41)
Point 5: (12, 9, 70) (4, 99, 41)
Point 6: (13, 9, 70) (4, 99, 41)
Point 7: (13, 198, 71) (2, 98, 41)
Point 8: (14, 9, 70) (3, 98, 41)
Point 9: (15, 10, 70) (2, 98, 41)
Point 10: (16, 199, 71) (2, 98, 41)
Point 11: (18, 12, 70) (3, 98, 41)
Point 12: (18, 199, 71) (2, 98, 41)
Point 13: (20, 12, 70) (2, 98, 41)
Point 14: (22, 13, 70) (2, 98, 41)
Point 15: (23, 13, 71) (2, 98, 41)
Point 16: (50, 40, 72) (6, 97, 41)
Point 17: (167, 198, 62) (10, 0, 41)
Point 18: (167, 199, 62) (2, 0, 41)
Point 19: (168, 198, 62) (2, 0, 41)
Point 20: (168, 199, 62) (2, 0, 41)
Point 21: (169, 197, 62) (2, 0, 41)
Point 22: (170, 197, 62) (2, 0, 41)
Point 23: (172, 196, 61) (4, 0, 41)
Point 24: (175, 195, 62) (2, 0, 41)
Point 25: (177, 195, 64) (2, 98, 41)
Point 26: (178, 194, 64) (5, 98, 41)
Point 27: (178, 195, 64) (2, 98, 41)
Point 28: (179, 194, 64) (2, 98, 41)
Point 29: (179, 194, 65) (3, 98, 41)
Point 30: (181, 194, 65) (2, 98, 41)
Point 31: (182, 195, 65) (2, 98, 41)
Point 32: (182, 195, 66) (2, 98, 41)
Point 33: (182, 197, 66) (3, 98, 41)
Point 34: (195, 5, 68) (5, 99, 41)
Point 35: (195, 6, 68) (4, 99, 41)
Point 36: (197, 6, 69) (2, 99, 41)
Point 37: (198, 5, 69) (3, 99, 41)
Point 38: (198, 199, 68) (3, 99, 41)
Point 1: (0, 4, 53) (2, 99, 41)
Point 2: (1, 1, 52) (2, 99, 41)
Point 3: (1, 3, 50) (3, 99, 41)
Point 4: (1, 4, 50) (3, 99, 41)
Point 5: (2, 0, 51) (3, 99, 41)
Point 6: (2, 1, 51) (3, 99, 41)
Point 7: (2, 2, 49) (2, 99, 41)
Point 8: (4, 0, 51) (2, 99, 41)
Point 9: (7, 1, 49) (3, 99, 41)
Point 10: (31, 6, 56) (2, 97, 41)
Point 11: (197, 4, 55) (3, 99, 41)
Point 12: (197, 5, 55) (3, 99, 41)
Point 13: (198, 4, 54) (2, 99, 41)
Point 1: (0, 7, 44) (2, 99, 41)
